temp_C,temp_K,humidity,pressure,wavelength_mm,frequency_kHz,speed_exp,speed_theory,speed_error_percent,r_squared
20.0,293.2,34,102400.0,8.7556,40.074,350.87,351.93,0.302,1.0
22.1,295.21,34,102400.0,8.8762,39.931,354.44,353.13,0.369,1.0
24.2,297.35,34,102400.0,8.7992,40.092,352.78,354.42,0.462,1.0
26.4,299.51,34,102400.0,8.8122,40.189,354.15,355.7,0.435,1.0
28.3,301.4,34,102400.0,8.964,39.964,358.24,356.82,0.397,1.0
30.3,303.47,34,102400.0,8.9139,39.943,356.05,358.04,0.557,1.0
32.6,305.72,34,102400.0,8.9216,40.081,357.59,359.37,0.496,1.0
34.6,307.71,34,102400.0,8.9617,40.021,358.66,360.54,0.521,1.0
36.5,309.65,34,102400.0,8.9866,40.071,360.1,361.67,0.434,1.0
38.7,311.82,34,102400.0,9.1632,39.87,365.34,362.94,0.661,1.0
40.6,313.79,34,102400.0,9.1086,39.804,362.56,364.08,0.419,1.0
42.7,315.86,34,102400.0,9.1865,40.004,367.5,365.28,0.607,1.0
44.9,318.0,34,102400.0,9.136,39.912,364.64,366.52,0.513,1.0
46.7,319.86,34,102400.0,9.2491,39.994,369.91,367.58,0.633,1.0
48.8,321.94,34,102400.0,9.1742,39.917,366.21,368.78,0.698,1.0
51.0,324.13,34,102400.0,9.3407,39.931,372.98,370.03,0.798,1.0
53.0,326.15,34,102400.0,9.232,39.976,369.06,371.18,0.573,1.0
55.2,328.35,34,102400.0,9.3451,40.092,374.66,372.43,0.599,0.999999
57.2,330.3,34,102400.0,9.4449,39.818,376.08,373.54,0.68,1.0
59.2,332.32,34,102400.0,9.438,40.05,377.99,374.68,0.885,1.0
61.5,334.68,34,102400.0,9.2892,40.094,372.44,376.0,0.947,0.999999
63.4,336.58,34,102400.0,9.3684,39.895,373.75,377.07,0.88,0.999999
65.5,338.67,34,102400.0,9.5737,39.931,382.29,378.24,1.07,1.0
67.4,340.59,34,102400.0,9.6187,39.859,383.39,379.31,1.075,1.0
69.6,342.75,34,102400.0,9.6562,39.805,384.37,380.51,1.013,0.999999
71.7,344.89,34,102400.0,9.7313,39.817,387.47,381.69,1.513,0.999999
73.7,346.83,34,102400.0,9.674,40.048,387.42,382.77,1.217,0.999999
75.9,349.05,34,102400.0,9.6641,40.168,388.19,383.99,1.093,0.999999
77.9,351.02,34,102400.0,9.7702,40.108,391.86,385.07,1.763,0.999999
80.0,353.12,34,102400.0,9.8291,39.968,392.85,386.22,1.716,0.999998
pressure_pa,pressure_percent,temp_C,temp_K,humidity,wavelength_mm,frequency_kHz,speed_exp,speed_theory,speed_error_percent,r_squared
102400.0,100.0,20.0,293.15,34,8.7509,40.049,350.47,351.9,0.408,1.0
91033.6,88.9,20.0,293.15,34,8.7973,40.079,352.59,351.9,0.196,1.0
79667.2,77.8,20.0,293.15,34,8.7733,40.001,350.94,351.89,0.271,1.0
68300.8,66.7,20.0,293.15,34,8.811,39.825,350.9,351.89,0.282,1.0
56934.4,55.6,20.0,293.15,34,8.8366,39.929,352.84,351.89,0.27,1.0
45568.0,44.5,20.0,293.15,34,8.8412,39.935,353.07,351.88,0.338,1.0
34201.6,33.4,20.0,293.15,34,8.8599,39.845,353.02,351.88,0.325,0.999999
22835.2,22.3,20.0,293.15,34,8.8018,40.107,353.01,351.88,0.323,0.999999
11468.8,11.2,20.0,293.15,34,8.7799,39.965,350.89,351.87,0.279,1.0
102.4,0.1,20.0,293.15,34,8.6616,40.054,346.93,351.87,1.402,0.999999
